Xếp loại học tập,GPA_1,GPA_2,GPA_3,GPA_4,GPA_5,GPA_6
Khá,1.25,2,1.83,2.4,2.33,3.83
Giỏi,2.5,3,2.17,3.6,3.33,3.83
Khá,2.25,1.67,1.5,2.4,2,2.17
Khá,2.25,1.67,1.5,2,2.17,3
Khá,2.5,3,2,1.6,2.17,2.33
Khá,2.5,3.33,2.83,3.2,3,3.17
Xuất sắc,3.75,3.67,3.17,3.8,3.5,4
Trung bình,1.5,2.67,2,1.6,2,2.33
Giỏi,3,2.33,3.5,4,3.17,3.67
Giỏi,3.25,3.33,2.83,3,2.5,3.67
Khá,2,3,2.17,2.8,2.83,3.5
Giỏi,2.75,3.67,3.67,3.4,3,4
Khá,3.25,3,2.83,3,1.83,3.5
Khá,3.75,3,2.5,2.6,3.33,3.33
Khá,2,2.67,1.67,1.6,2.67,2.67
Giỏi,3.75,3.67,3.17,2.8,2.83,2
Trung bình,1.25,2,1.67,1.6,2.5,3.17
Khá,2.25,2,2.17,1.8,2.33,3
Giỏi,3.5,3.33,3.17,3,2.83,3.5
Khá,2.25,1.33,2.17,2,2.33,2.67
Khá,1.75,2.33,2,2,2.33,2.67
Giỏi,2.5,1,3.17,3.2,3.17,3.67
Giỏi,3.5,3.67,2.83,3.4,2.5,2.83
Trung bình,1.5,2.33,2.17,1.6,2,2.5
Giỏi,3.25,3,3,3.6,2.5,3.33
Xuất sắc,3,4,3.5,4,3.33,3.83
Khá,2.5,2.67,2.83,3.4,2.83,3
Khá,2.5,2.67,1.67,2.2,2.17,2.5
Giỏi,3,4,3.33,3.4,3,3.5
Khá,1.25,2.33,1.83,2.2,2.33,2.83
Khá,2.5,3,3,3.2,2,2.83
Khá,2.75,2.67,2.5,2.8,2.17,3.17
Khá,2.25,3,2.33,2.8,2.5,2.83
Khá,2.75,2.67,2.5,2.8,1.83,2.83
Khá,3,3,2.67,2.6,2.33,3.17
Khá,2.5,2.67,1.67,2,2.5,3.5
Trung bình,2.25,1.33,2.17,1.8,2,2.17
Khá,2.5,2.33,2,2.4,2,3
Trung bình,1.25,1.67,1.5,1.4,1.67,2.33
Khá,3,3.33,2,2.4,2.17,3.33
Khá,1.75,1,2.17,2.4,2.5,2.5
Khá,2.25,2.67,2.5,2.8,2.83,3.83
Khá,1.75,2.33,2.67,1.8,2,2.33
Trung bình,1.25,1.33,1.67,1.4,1.83,2.33
Khá,1.75,1.67,2.17,2.8,2.67,3.17
Trung bình,1.5,1.67,1.67,1.6,2.17,2.83
Khá,2,1.33,1.67,1.8,1.83,3.17
Khá,3,3.33,2.83,3.6,2.5,3.17
Giỏi,2.5,4,3.17,3.8,3.17,4
Khá,2.5,2.67,2.83,2.8,2.5,3.17
Khá,2.75,3,1.83,3,2,3
Giỏi,1.75,2,3.5,3.8,3.17,4
Trung bình,1.5,2.33,2,1.2,1.83,2.17
Khá,1.75,2,2.17,2.2,2.83,3.17
Khá,2,2,2,2.4,2.33,3.17
Khá,2.75,3.33,1.83,2,2,3
Khá,2,2,2.17,2.2,2,2.83
Khá,2,2.67,2.67,2.2,2.17,2.33
Giỏi,3,3.67,3.5,3.8,3.67,3.83
Xuất sắc,3.5,4,3.83,4,3.33,3.83
Giỏi,3.25,3.33,3.5,3.6,3.33,3.83
Khá,2.75,3.33,2.67,3,1.83,2.83
Trung bình,2,3,1.5,2,1.83,2.17
Khá,2.75,3.33,2.5,2.2,2,2.5
Khá,2.25,2.33,2.33,2.6,3.17,3.17
Khá,2.5,2.33,2.17,2.4,2.17,3.67
Xuất sắc,3.75,4,3,4,3.67,4
Giỏi,3.25,3,3.33,3.4,3,3.17
Giỏi,3.5,3.33,3.5,3.8,3.83,4
Giỏi,3,2.67,3.33,3.4,3.33,3
Khá,2.5,3,3.17,3.2,2.83,2.83
Khá,3.25,3,2.33,3.2,2.5,3
Khá,2.75,2.33,2,2,2,2.67
Khá,2.5,2.67,2.5,3.2,3,3.33
Khá,1.75,2.33,1.83,1.8,2.5,2.83
Khá,2.75,3.67,2.83,3.2,2.5,2.83
Xuất sắc,3.75,3.67,3.67,4,3.5,4
Khá,2.5,2.33,2.17,2.6,2.67,2.83
Trung bình,2,2.33,1.5,2,2.5,2.67
Trung bình,2.25,2,2,1.6,1.17,2.33
Khá,2.5,2.67,1.5,1.8,2,3
Khá,2.25,1.67,2.67,2,2.5,2.5
Khá,2.25,1.33,2.33,2,2.5,2.83
Khá,3,3,2.67,3,2.5,2.5
Khá,2.75,1.67,3,2.8,3,3.17
