mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_scaler,param_svm__C,param_svm__gamma,param_svm__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.016675186157226563,0.0035049043006465707,0.008923816680908202,0.004605007255075139,1,StandardScaler(),0.01,scale,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.8142857142857143,0.8571428571428571,0.8571428571428571,0.8115942028985508,0.8985507246376812,0.8477432712215321,0.032200201894870044,1109
0.01417074203491211,0.004166644568857832,0.007273292541503907,0.0024394691063192534,1,StandardScaler(),0.01,scale,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.6,0.6,0.6,0.5942028985507246,0.5942028985507246,0.5976811594202898,0.002839988107574701,1485
0.012440681457519531,0.0012526627406826858,0.0061970710754394535,0.001786071532863458,1,StandardScaler(),0.01,auto,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 'auto', 'svm__kernel': 'linear'}",0.8142857142857143,0.8571428571428571,0.8571428571428571,0.8115942028985508,0.8985507246376812,0.8477432712215321,0.032200201894870044,1109
0.022958946228027344,0.010716797590831108,0.013468313217163085,0.0071660471472715735,1,StandardScaler(),0.01,auto,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 'auto', 'svm__kernel': 'rbf'}",0.6,0.6,0.6,0.5942028985507246,0.5942028985507246,0.5976811594202898,0.002839988107574701,1485
0.01395106315612793,0.0041103535821069145,0.012281417846679688,0.0037133009048567404,1,StandardScaler(),0.01,0.01,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.01, 'svm__kernel': 'linear'}",0.8142857142857143,0.8571428571428571,0.8571428571428571,0.8115942028985508,0.8985507246376812,0.8477432712215321,0.032200201894870044,1109
0.01955127716064453,0.006314193510481048,0.010495901107788086,0.007788778148881235,1,StandardScaler(),0.01,0.01,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.6,0.6,0.6,0.5942028985507246,0.5942028985507246,0.5976811594202898,0.002839988107574701,1485
0.020095968246459962,0.0005772882301667304,0.010797262191772461,0.001751072021754108,1,StandardScaler(),0.01,0.1,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.1, 'svm__kernel': 'linear'}",0.8142857142857143,0.8571428571428571,0.8571428571428571,0.8115942028985508,0.8985507246376812,0.8477432712215321,0.032200201894870044,1109
0.0248715877532959,0.012050652552057515,0.01270465850830078,0.0033989118452288475,1,StandardScaler(),0.01,0.1,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.6,0.6,0.6,0.5942028985507246,0.5942028985507246,0.5976811594202898,0.002839988107574701,1485
0.02086958885192871,0.0026235525437272762,0.009036970138549805,0.003729906048247577,1,StandardScaler(),0.01,0.5,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.5, 'svm__kernel': 'linear'}",0.8142857142857143,0.8571428571428571,0.8571428571428571,0.8115942028985508,0.8985507246376812,0.8477432712215321,0.032200201894870044,1109
0.02478499412536621,0.008799580109869374,0.01068272590637207,0.005803093680204496,1,StandardScaler(),0.01,0.5,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.5, 'svm__kernel': 'rbf'}",0.6,0.6,0.6,0.5942028985507246,0.5942028985507246,0.5976811594202898,0.002839988107574701,1485
0.024413299560546876,0.004919513666040993,0.011807966232299804,0.006066988489164719,1,StandardScaler(),0.01,1,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 1, 'svm__kernel': 'linear'}",0.8142857142857143,0.8571428571428571,0.8571428571428571,0.8115942028985508,0.8985507246376812,0.8477432712215321,0.032200201894870044,1109
0.0193148136138916,0.006572759866405693,0.008720159530639648,0.0025498744403424736,1,StandardScaler(),0.01,1,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.6,0.6,0.6,0.5942028985507246,0.5942028985507246,0.5976811594202898,0.002839988107574701,1485
0.011921215057373046,0.0015810739849336133,0.005270719528198242,0.0031092150208953057,1,StandardScaler(),0.01,5,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 5, 'svm__kernel': 'linear'}",0.8142857142857143,0.8571428571428571,0.8571428571428571,0.8115942028985508,0.8985507246376812,0.8477432712215321,0.032200201894870044,1109
0.013417673110961915,0.00250631406269234,0.007153749465942383,0.003757967829087591,1,StandardScaler(),0.01,5,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 5, 'svm__kernel': 'rbf'}",0.6,0.6,0.6,0.5942028985507246,0.5942028985507246,0.5976811594202898,0.002839988107574701,1485
0.011009788513183594,0.002875292453576986,0.006269598007202148,0.0011150343386297906,1,StandardScaler(),0.027825594022071243,scale,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.027825594022071243), 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.8142857142857143,0.8285714285714286,0.8571428571428571,0.8260869565217391,0.8985507246376812,0.844927536231884,0.030285545573943924,1202
0.013779067993164062,0.004560193688009007,0.005985546112060547,0.0015724669702379737,1,StandardScaler(),0.027825594022071243,scale,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.027825594022071243), 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.8142857142857143,0.8428571428571429,0.8571428571428571,0.8115942028985508,0.8985507246376812,0.8448861283643894,0.03187152559486999,1221
0.015309762954711915,0.008278018986990163,0.007511425018310547,0.0033475375668925752,1,StandardScaler(),0.027825594022071243,auto,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.027825594022071243), 'svm__gamma': 'auto', 'svm__kernel': 'linear'}",0.8142857142857143,0.8285714285714286,0.8571428571428571,0.8260869565217391,0.8985507246376812,0.844927536231884,0.030285545573943924,1202
