KT1,KT2,KT3,KT_TB,BC,Bonus,QT_x,QT_y,CK,HP_grade
8.11,7.0,6.75,7.29,9.25,0.25,8.52,8.5,7.5,7.8
8.78,4.33,4.5,5.87,8.25,0.75,7.81,8.0,7.5,7.7
9.33,8.67,7.25,8.42,8.0,0.5,8.71,8.5,9.5,9.2
9.0,0.0,4.42,4.47,7.75,0.5,6.61,6.5,5.5,5.8
7.67,0.0,3.84,3.84,5.25,0.0,4.55,4.5,5.5,5.2
7.67,6.0,4.56,6.08,8.0,0.0,7.04,7.0,7.5,7.4
6.0,3.0,3.75,4.25,5.38,0.0,4.82,5.0,7.5,6.8
7.33,9.0,4.96,7.1,7.5,0.0,7.3,7.5,6.0,6.5
8.56,8.0,3.08,6.55,8.0,0.5,7.78,8.0,5.0,5.9
9.22,6.0,6.46,7.23,8.0,1.0,8.62,8.5,9.0,8.9
9.0,7.33,6.38,7.57,7.75,0.0,7.66,7.5,6.5,6.8
9.22,6.67,4.92,6.94,7.5,0.75,7.97,8.0,8.0,8.0
7.67,8.33,8.04,8.01,9.25,0.75,9.38,9.5,8.0,8.5
9.0,7.33,8.25,8.19,5.25,0.25,6.97,7.0,5.5,6.0
8.56,3.67,5.5,5.91,7.75,0.0,6.83,7.0,9.0,8.4
6.89,3.67,5.29,5.28,8.63,0.0,6.96,7.0,7.5,7.4
2.11,8.0,6.79,5.63,6.25,-0.25,5.69,5.5,7.0,6.6
9.0,7.0,6.75,7.58,8.0,1.5,9.29,9.5,7.0,7.8
6.0,5.0,5.25,5.42,8.0,0.25,6.96,7.0,6.5,6.7
6.56,6.67,6.54,6.59,7.0,-0.25,6.55,6.5,5.0,5.5
3.67,8.33,5.42,5.81,6.0,0.0,5.91,6.0,6.0,6.0
8.33,6.67,3.5,6.17,8.0,0.75,7.84,8.0,7.5,7.7
6.89,7.0,0.0,4.63,6.0,0.0,5.32,5.5,4.5,4.8
7.67,7.33,4.0,6.33,6.0,0.25,6.42,6.5,5.5,5.8
8.0,8.0,6.33,7.44,3.25,0.0,5.35,5.5,5.5,5.5
6.33,8.0,4.25,6.19,6.75,0.25,6.72,6.5,6.0,6.1
6.33,8.0,6.75,7.03,7.25,0.0,7.14,7.0,6.0,6.3
9.0,6.67,5.58,7.08,6.25,0.5,7.17,7.0,8.5,8.1
9.33,7.67,8.5,8.5,7.25,0.25,8.13,8.0,8.0,8.0
7.56,6.67,7.12,7.12,7.75,0.0,7.44,7.5,9.5,8.9
8.33,4.67,5.58,6.19,8.0,-0.25,6.85,7.0,8.0,7.7
7.28,2.67,4.98,4.98,7.0,0.0,5.99,6.0,8.5,7.8
7.67,0.0,3.84,3.84,7.75,0.0,5.8,6.0,5.0,5.3
6.33,5.67,6.0,6.0,7.0,0.0,6.5,6.5,6.5,6.5
8.33,,3.0,3.78,7.0,0.0,5.39,5.5,5.5,5.5
7.0,7.67,7.34,7.34,7.0,0.0,7.17,7.0,5.0,5.6
7.56,6.67,6.75,6.99,7.5,0.0,7.25,7.5,4.0,5.1
9.0,8.0,8.5,8.5,8.0,0.5,8.75,9.0,9.0,9.0
5.33,3.67,4.5,4.5,7.5,0.0,6.0,6.0,5.5,5.7
6.33,7.33,7.13,6.93,7.0,0.0,6.97,7.0,6.5,6.7
8.11,7.33,7.72,7.72,5.25,0.5,6.99,7.0,8.0,7.7
9.33,8.0,5.71,7.68,8.75,0.25,8.47,8.5,7.0,7.5
6.94,5.17,6.06,6.06,8.25,0.25,7.41,7.5,6.5,6.8
5.33,3.83,4.58,4.58,6.5,0.0,5.54,5.5,6.5,6.2
7.33,4.83,6.08,6.08,7.0,0.0,6.54,6.5,4.5,5.1
5.61,3.0,4.31,4.31,7.0,0.0,5.66,5.5,6.0,5.9
7.67,5.67,6.67,6.67,7.0,0.25,7.09,7.0,7.0,7.0
7.44,8.0,7.72,7.72,7.25,0.25,7.74,7.5,5.5,6.1
8.33,8.17,8.25,8.25,7.75,0.0,8.0,8.0,7.0,7.3
8.0,4.17,6.09,6.09,9.25,0.5,8.17,8.0,8.5,8.4
